\\ K2 Targets - Campaign 2
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID
\\ RA, Dec = Coordinates (J2000)
\\ Mag_Kep = Kepler magnitude
\\ Mag_Ks = Ks magnitude
\\ Num_plan = Number of confirmed planets
\\ Poss_pc = Possible planetary candidate
\\ Num_spec = Number of spectroscopy observations
\\ Num_img = Number of imaging observations
\\ Last Mod = Last modified date

EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
202564584,16:31:40.99,-29:12:16.11,11.994,10.254,0,,0,0,2016-12-19 12:00:00
202565282,16:29:42.25,-29:12:06.22,15.112,11.899,0,Y,0,1,2016-12-19 12:00:00
202566044,16:11:42.65,-29:11:55.2,12.134,10.623,0,,0,0,2016-12-19 12:00:00
202566766,16:11:37.81,-29:11:45.34,12.045,10.800,0,,0,0,2016-12-19 12:00:00
202566857,16:12:54.63,-29:11:43.89,12.030,10.510,0,,0,0,2016-12-19 12:00:00
202566983,16:14:48.53,-29:11:42.18,11.926,10.621,0,,0,0,2016-12-19 12:00:00
202567324,16:22:43.78,-29:11:37.71,10.885,7.965,0,,0,0,2016-12-19 12:00:00
202568401,16:16:58.25,-29:11:22.17,14.242,11.154,0,,0,0,2016-12-19 12:00:00
202569086,16:18:11.07,-29:11:12.66,10.211,8.377,0,,0,0,2016-12-19 12:00:00
202569878,16:23:28.04,-29:11:01.54,12.037,10.832,0,,0,0,2016-12-19 12:00:00
202570540,16:08:24.89,-29:10:51.96,12.410,10.921,0,,0,0,2016-12-19 12:00:00
202571062,16:24:02.04,-29:10:44.82,9.411,6.776,0,,0,0,2016-12-19 12:00:00
202571430,16:24:02.25,-29:10:39.54,11.654,8.806,0,,0,0,2016-12-19 12:00:00
202572958,16:28:29.31,-29:10:18.18,10.485,8.410,0,,0,0,2016-12-19 12:00:00
202572997,16:12:01.12,-29:10:17.55,12.134,10.038,0,,0,0,2016-12-19 12:00:00
202574118,16:13:26.46,-29:10:02.02,11.340,10.352,0,,0,0,2016-12-19 12:00:00
202575163,16:30:33.64,-29:09:47.93,12.300,10.378,0,,0,0,2016-12-19 12:00:00
202575230,16:14:57.08,-29:09:46.9,14.727,11.463,0,,0,0,2016-12-19 12:00:00
202575274,16:08:59.19,-29:09:46.1,11.373,8.795,0,,0,0,2016-12-19 12:00:00
202575346,16:08:41.94,-29:09:45.29,9.543,8.607,0,,0,0,2016-12-19 12:00:00
202576842,16:25:13.18,-29:09:23.88,14.464,11.642,0,,0,0,2016-12-19 12:00:00
202577161,16:23:43.89,-29:09:19.45,12.582,10.346,0,,0,0,2016-12-19 12:00:00
202577527,16:16:51.78,-29:09:14.43,12.268,10.726,0,,0,0,2016-12-19 12:00:00
202578169,16:31:03.93,-29:09:05.62,11.663,10.104,0,,0,0,2016-12-19 12:00:00
202579782,16:15:11.06,-29:08:43.27,12.109,10.714,0,,0,0,2016-12-19 12:00:00
202580119,16:30:22.89,-29:08:38.59,11.981,9.519,0,,0,0,2016-12-19 12:00:00
202580602,16:10:09.19,-29:08:31.83,12.233,11.244,0,,0,0,2016-12-19 12:00:00
202580813,16:10:24.31,-29:08:28.64,12.270,10.578,0,,0,0,2016-12-19 12:00:00
202580886,16:28:59.48,-29:08:27.74,12.374,10.477,0,,0,0,2016-12-19 12:00:00
202580996,16:10:09.66,-29:08:26.2,12.233,11.088,0,,0,0,2016-12-19 12:00:00
202581426,16:26:05.09,-29:08:19.74,13.878,11.145,0,,0,0,2016-12-19 12:00:00
202582206,16:26:11.95,-29:08:08.03,13.770,10.554,0,,0,0,2016-12-19 12:00:00
202582420,16:26:28.8,-29:08:05.33,8.112,6.581,0,,0,0,2016-12-19 12:00:00
202582483,16:23:45.33,-29:08:04.5,9.228,6.120,0,,0,0,2016-12-19 12:00:00
202582895,16:35:11.7,-29:07:58.85,12.815,8.299,0,,0,0,2016-12-19 12:00:00
202583210,16:15:02.98,-29:07:54.57,12.210,,0,,0,0,2016-12-19 12:00:00
202583440,16:31:39.4,-29:07:51.46,11.642,8.253,0,,0,0,2016-12-19 12:00:00
202584037,16:14:54.13,-29:07:42.81,12.029,10.865,0,,0,0,2016-12-19 12:00:00
202584066,16:36:14.03,-29:07:42.47,11.106,9.448,0,,0,0,2016-12-19 12:00:00
202584126,16:17:04.29,-29:07:41.66,12.244,10.308,0,,0,0,2016-12-19 12:00:00
202584467,16:25:39.58,-29:07:36.96,14.029,10.904,0,,0,0,2016-12-19 12:00:00
202585030,16:10:24.19,-29:07:29.37,12.263,9.073,0,,0,0,2016-12-19 12:00:00
202585031,16:26:30.52,-29:07:29.37,8.000,6.466,0,,0,0,2016-12-19 12:00:00
202585553,16:12:27.95,-29:07:21.73,10.697,9.573,0,,0,0,2016-12-19 12:00:00
202585753,16:15:47.03,-29:07:18.98,11.206,9.689,0,,0,0,2016-12-19 12:00:00
202585915,16:27:17.53,-29:07:16.73,13.729,10.755,0,,0,0,2016-12-19 12:00:00
202586991,16:26:21.32,-29:07:01.97,14.099,10.823,0,,0,0,2016-12-19 12:00:00
202587982,16:21:26.06,-29:06:48.09,15.093,11.562,0,,0,0,2016-12-19 12:00:00
202588237,16:32:11.28,-29:06:44.5,10.359,9.563,0,,0,0,2016-12-19 12:00:00
202589741,16:28:28.71,-29:06:24.47,12.432,11.064,0,,0,0,2016-12-19 12:00:00
202589809,16:17:03.71,-29:06:23.5,11.284,9.746,0,,0,0,2016-12-19 12:00:00
202589921,16:26:57.46,-29:06:21.96,9.243,8.275,0,,0,0,2016-12-19 12:00:00
202590030,16:26:11.56,-29:06:20.33,14.651,11.189,0,,0,0,2016-12-19 12:00:00
202590141,16:17:36.67,-29:06:18.9,12.578,10.896,0,,0,0,2016-12-19 12:00:00
202590160,16:10:31.21,-29:06:18.67,12.050,9.887,0,,0,0,2016-12-19 12:00:00
202590369,16:27:37.41,-29:06:15.88,14.366,11.275,0,,0,0,2016-12-19 12:00:00
202590973,16:25:12.15,-29:06:07.51,13.534,9.826,0,,0,0,2016-12-19 12:00:00
202591306,16:27:05.05,-29:06:02.73,12.428,9.228,0,,0,0,2016-12-19 12:00:00
202591825,16:26:22.05,-29:05:55.48,14.106,10.694,0,,0,0,2016-12-19 12:00:00
202591862,16:23:13.84,-29:05:54.95,12.499,10.555,0,,0,0,2016-12-19 12:00:00
202592009,16:31:18.52,-29:05:53.19,15.098,11.644,0,,0,0,2016-12-19 12:00:00
202592839,16:25:04.55,-29:05:41.82,14.109,10.694,0,,0,0,2016-12-19 12:00:00
